CUST_NO,CALL_COUNT,MAIN_CATEGORY,SUB_CATEGORY,AVG_SENTIMENT_SCORE
1266001,1,經銷商問題,遠傳電信-電訪約裝,0.0
1266280,1,經銷商問題,遠傳電信-電訪約裝,0.0
1265132,2,經銷商問題,網路品質,-0.5
8558,3,帳務問題,頻寬方案費率,-0.3333333333333333
1266746,1,帳務問題,頻寬方案費率,-1.0
740473,1,網路連線問題,無法上網,-1.0
781391,1,帳務問題,頻寬方案費率,0.0
1229465,1,帳務相關,拆機挽回,-1.0
1143690,1,網路連線問題,網路品質,-1.0
1265567,2,經銷商問題,台哥大-電訪約裝,0.0
1265100,2,經銷商問題,台哥大-電訪約裝,0.0
1237120,1,網路連線問題,無法上網,0.0
1204758,2,網路連線問題,無法上網,0.0
1265853,4,網路連線問題,無法上網,0.0
1265877,1,經銷商問題,台哥大-電訪約裝,0.0
149027,2,帳務問題,頻寬方案費率,0.5
1222545,1,帳務相關,拆機挽回,-1.0
1231780,2,帳務問題,拆機挽回,0.0
933580,1,網路連線問題,無法上網,0.0
1174931,1,經銷商問題,台哥大-電訪約裝,0.0
1265550,2,經銷商問題,台哥大-電訪約裝,0.0
1265564,2,經銷商問題,台哥大-電訪約裝,0.0
1263520,1,非連線問題,固定Ip問題,1.0
71936,1,非連線問題,固定Ip問題,0.0
1265754,3,經銷商問題,台哥大-電訪約裝,0.0
1138782,1,網路連線問題,無法上網,0.0
1185150,1,帳務相關,拆機挽回,-1.0
756191,1,網路連線問題,無法上網,-1.0
860622,1,網路連線問題,無法上網,0.0
95550,1,帳務相關,拆機挽回,0.0
1265902,1,經銷商問題,台哥大-電訪約裝,0.0
1205107,2,網路連線問題,無法上網,0.0
1223430,1,網路連線問題,無法上網,0.0
1162741,2,帳務問題,拆機挽回,0.0
1242309,1,網路連線問題,無法上網,-2.0
966707,1,網路連線問題,無法上網,-1.0
1169905,2,帳務問題,帳單/收據寄送問題,-0.5
731113,1,網路連線問題,無法上網,0.0
833126,3,網路連線問題,無法上網,0.6666666666666666
790015,1,帳務相關,拆機挽回,0.0
42816,1,經銷商問題,遠傳電信-電訪約裝,1.0
1022568,2,網路連線問題,無法上網,0.0
1074014,2,帳務相關,拆機挽回,0.0
703710,2,網路連線問題,Cable modem連線,0.5
1131215,3,帳務問題,mac 己被註冊,0.0
1265505,1,經銷商問題,台哥大-電訪約裝,0.0
1218428,1,網路連線問題,無法上網,-1.0
1230149,2,帳務相關,拆機挽回,0.5
1183661,2,帳務相關,拆機挽回,-0.5
1179154,1,網路連線問題,無法上網,0.0
58987,1,網路連線問題,無法上網,-1.0
126129,2,網路連線問題,Cable modem連線,0.0
123776,2,帳務問題,拆機挽回,0.0
1265278,1,網路連線問題,無法上網,0.0
1265821,1,經銷商問題,遠傳電信-電訪約裝,0.0
873789,1,網路連線問題,無法上網,0.0
1170399,2,經銷商問題,台哥大-電訪約裝,0.0
