CUST_NO,CALL_COUNT,MAIN_CATEGORY,SUB_CATEGORY,AVG_SENTIMENT_SCORE
13309,4,網路連線問題,無法上網,0.0
1142587,1,網路連線問題,無法上網,-1.0
485354,4,網路連線問題,Cable modem連線,-0.75
1184783,2,網路連線問題,無法上網,-0.5
922268,1,網路連線問題,Cable modem連線,0.0
1189844,3,網路連線問題,無法上網,0.3333333333333333
1164997,1,帳務問題,繳費相關問題,0.0
1212779,1,網路連線問題,無法上網,0.0
1027610,1,網路連線問題,無法上網,0.0
1080638,3,網路連線問題,無法上網,-0.6666666666666666
1143598,1,網路連線問題,無法上網,0.0
887236,1,網路連線問題,無法上網,0.0
108498,2,網路連線問題,無法上網,0.5
1231615,3,經銷商問題,台哥大-電訪約裝,0.3333333333333333
140636,1,帳務問題,繳費相關問題,0.0
1152823,1,經銷商問題,台哥大-人員進電,0.0
1051767,1,網路連線問題,無法上網,0.0
1229597,4,經銷商問題,台哥大-電訪約裝,0.25
1231068,7,經銷商問題,遠傳電信-電訪約裝,0.0
1231595,3,經銷商問題,台哥大-人員進電,0.0
1149726,2,網路連線問題,無法上網,-0.5
1139267,1,網路連線問題,連線其他相關問題,0.0
1232499,1,經銷商問題,遠傳電信-電訪約裝,0.0
1224161,1,經銷商問題,遠傳電信-電訪約裝,0.0
614044,1,帳務相關,拆機挽回,0.0
1209989,1,網路連線問題,無法上網,0.0
1154798,1,網路連線問題,無法上網,0.0
1231856,3,經銷商問題,台哥大-電訪約裝,-0.3333333333333333
694588,8,經銷商問題,台哥大-電訪約裝,0.0
1149734,1,帳務相關,拆機挽回,0.0
759476,1,網路連線問題,網路品質,-1.0
717314,2,帳務問題,方案異動CM轉EPON,0.0
1160929,1,網路連線問題,網路品質,0.0
1173460,2,網路連線問題,固定Ip問題,0.5
191565,2,經銷商問題,台哥大-電訪約裝,0.5
1232249,2,經銷商問題,遠傳電信-電訪約裝,0.5
1152287,5,經銷商問題,台哥大-電訪約裝,-0.2
1220129,3,網路連線問題,網路品質,0.0
1227753,5,帳務問題,服務異動,0.2
1231306,3,經銷商問題,台哥大-電訪約裝,0.0
1046566,2,網路連線問題,無法上網,0.0
699440,4,網路連線問題,無法上網,-0.5
423559,2,網路連線問題,無法上網,0.0
1228555,3,經銷商問題,遠傳電信-電訪約裝,-0.3333333333333333
