客編,平均繳款延遲日數,paytype_1,paytype_3,paytype_6,paytype_12,paytype_15,paytype_99,paymethod_APP臨櫃代收(7-11),paymethod_CVS臨櫃代收(7-11),paymethod_信用卡扣款,paymethod_其他繳款方式,paymethod_廠商代收,paymethod_當月繳帳單,paymethod_簡訊帳單臨櫃代收(7-11),paymethod_金融機構轉帳
617346,13.42,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1066875,3.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
164631,13.42,0,1,0,0,0,0,0,0,0,0,0,0,1,0
13434,13.42,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1023169,-19.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1128454,13.42,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1175854,-50.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1086132,-15.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
886139,-16.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
993426,-53.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
918236,-19.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
424333,-5.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
313312,-52.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
225106,-40.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
403645,-16.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
200010,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
598054,-33.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
714894,13.42,0,0,0,1,0,0,0,0,0,0,0,0,1,0
392088,-21.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
206982,-12.5,0,0,1,0,0,0,0,1,0,0,0,0,0,0
743903,-37.5,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1001823,9.666666666666666,0,1,0,0,0,0,0,1,0,0,0,0,0,0
618556,-21.125,0,0,1,0,0,0,0,1,0,0,0,0,0,0
35766,-21.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1188977,9.5,0,0,1,0,0,0,0,0,0,0,0,0,1,0
497618,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1100352,13.42,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1138679,13.42,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1072758,-26.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
927891,20.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
694167,9.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
288448,-18.25,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1071595,13.42,0,0,0,1,0,0,0,1,0,0,0,0,0,0
976411,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
9264,11.333333333333334,0,0,1,0,0,0,0,1,0,0,0,0,0,0
665827,-36.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
152648,-4.5,0,0,1,0,0,0,0,1,0,0,0,0,0,0
191102,13.42,0,0,1,0,0,0,0,0,0,0,0,1,0,0
27979,-20.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
800538,16.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
457540,-24.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
47192,-35.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
528990,-34.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
626712,4.5,0,0,1,0,0,0,0,0,0,0,0,0,1,0
594808,-18.333333333333332,0,0,1,0,0,0,0,1,0,0,0,0,0,0
777313,-12.666666666666666,0,1,0,0,0,0,0,0,0,0,0,0,1,0
558282,-10.5,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1069576,0.25,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1069581,0.25,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1068747,-35.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1215682,13.42,0,0,0,0,0,1,0,0,0,0,0,0,1,0
568932,-21.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
323933,13.42,0,0,0,1,0,0,0,0,0,0,0,0,1,0
832399,-9.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1080499,-9.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
840042,13.42,0,0,0,1,0,0,0,1,0,0,0,0,0,0
222122,-10.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
690090,-53.5,0,0,1,0,0,0,0,1,0,0,0,0,0,0
620104,28.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
664717,-13.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1216984,13.42,0,0,0,1,0,0,0,0,0,1,0,0,0,0
