客編,平均繳款延遲日數,paytype_1,paytype_3,paytype_6,paytype_12,paytype_15,paytype_99,paymethod_APP臨櫃代收(7-11),paymethod_CVS臨櫃代收(7-11),paymethod_信用卡扣款,paymethod_其他繳款方式,paymethod_廠商代收,paymethod_當月繳帳單,paymethod_簡訊帳單臨櫃代收(7-11),paymethod_金融機構轉帳
742815,-9.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
791821,-4.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
335347,-2.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
957293,-7.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1153712,1.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
801374,3.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1114105,-14.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1114723,-18.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1014598,-6.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1015604,6.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1159887,-6.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1048936,-4.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
698006,-9.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1061336,3.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
893701,1.5,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1193788,1.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
896142,30.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1195757,2.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
655115,3.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
947825,-17.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1192785,4.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
487190,3.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
481163,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1053194,-5.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
722461,2.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1130773,-29.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1058021,2.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
341216,2.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1195032,0.5,0,0,0,0,1,0,0,1,0,0,0,0,0,0
755118,3.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1192779,2.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1196593,1.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
